,Rplantf,Ranthrof,temp,pre,mele,mesl,area1
4730,0.722228736,0.362064713,159.3568292,25661.78877,219.2513959,6.043592677,4.565639236
4830,0.682941758,0.285290014,146.9005215,23894.11231,313.1412648,8.686067194,4.565639236
4831,0.601566059,0.133587379,134.9727925,27660.91442,483.553312,12.58657966,4.565639236
4930,0.70743915,0.542721844,149.0166184,21254.16077,207.4545053,5.574851105,4.565639236
4931,0.630376472,0.200779323,132.6577051,22445.39343,457.1291427,8.662528374,4.565639236
5030,0.693950752,0.444508437,148.1722477,19338.29106,181.1807456,6.052102751,4.565639236
5032,0.69189956,0.263350665,136.5875722,17754.31949,346.8179978,10.43926066,4.262394841
5033,0.640633618,0.161565703,125.8907328,24910.96476,541.42657,14.41627648,4.262394841
5035,0.658354919,0.0961025,140.4893861,26982.95898,309.9843476,11.43008774,5.357818829
5131,0.270720921,0.186147698,133.3944724,19381.46154,266.0157146,8.390805924,5.357818829
5132,0.131272313,0.231839144,131.8327831,16615.95009,309.2902924,8.708197974,5.357818829
5133,0.03754456,0.459072302,145.6656302,11643.04353,141.3262936,5.873963943,5.357818829
5135,0.659813362,0.36265481,132.9125393,16485.78734,380.8793124,9.145126001,5.357818829
5136,0.657853743,0.179212063,131.7096774,22919.30708,345.6039322,10.43239125,5.357818829
5232,0.237542929,0.158277128,120.8453629,18514.83508,368.2202134,8.049728206,5.357818829
5233,0.280911886,0.176282111,115.5889063,15771.58859,447.5814375,8.692578125,5.357818829
5234,0.399382318,0.247721538,127.1087971,15177.66028,305.7791169,9.100680611,5.357818829
5235,0.231627709,0.341012419,134.5249085,15179.88907,248.2349396,6.955988071,5.357818829
5236,0.471675191,0.558759053,140.0177929,17080.27901,173.917019,3.921626016,5.357818829
5237,0.683307433,0.336977425,133.9316576,19489.95942,335.5352835,7.640545841,5.357818829
5238,0.594400984,0.266248414,130.4936736,26140.39456,466.2763407,11.28683491,5.357818829
5336,0.312116374,0.229667187,118.2521696,25304.84362,426.0091903,11.09096815,5.357818829
5337,0.404908751,0.149297275,94.75515625,22062.11109,896.2119063,12.32921875,5.357818829
5338,0.371789409,0.153132446,84.04891389,16583.65667,1189.756781,15.28101563,5.357818829
5339,0.472457369,0.628841622,139.5028365,15961.93863,195.323306,4.621988364,5.357818829
5340,0.694217542,0.727504047,144.0167058,14745.497,21.80196636,0.855006468,5.357818829
5436,0.250507,0.266599931,108.0221346,26106.56695,523.4036964,10.97753718,5.357818829
5437,0.250365767,0.13858291,74.72921875,20353.16672,1128.796875,14.7439375,5.357818829
5438,0.486442053,0.246505212,90.58085705,12953.43682,910.4999844,10.1528125,5.357818829
5439,0.532445353,0.636876545,130.332655,13493.80776,214.0860156,3.9110625,5.357818829
5440,0.690211493,0.606313305,131.2491012,13453.88161,73.5114664,2.323682238,5.357818829
5538,0.168612858,0.261568542,93.6618275,21418.99436,658.1027465,10.52209144,5.357818829
5539,0.199399314,0.09022921,75.08457089,17816.21354,969.2531875,13.30340625,5.357818829
5540,0.475548309,0.276772537,108.7291739,14917.89561,373.4064472,5.228632994,5.357818829
5639,0.157908076,0.2371541,96.99477848,22658.03085,440.8758899,10.09327638,5.357818829
5640,0.266354188,0.314329779,99.02863578,13966.86792,453.7869538,6.732925473,5.357818829
5739,0.217207246,0.116400012,95.35557432,26454.58108,438.5677221,11.5520594,5.357818829
5740,0.281596409,0.339548524,97.15537532,15135.84876,357.4660785,7.11580035,5.357818829
5840,0.358123651,0.164458089,90.07890625,20408.13406,394.9935469,8.822671875,5.357818829
5841,0.566598808,0.336803571,98.82557661,13353.59164,222.0599714,6.727107573,5.357818829
5940,0.411967039,0.197454246,87.16548616,20386.82904,367.3809028,7.856491116,5.357818829
5941,0.506023862,0.193316141,79.45216564,13799.80739,477.5529514,9.12851717,5.357818829
6040,0.481944562,0.185833595,83.13675079,16764.1336,356.7532258,8.335640464,5.357818829
6041,0.490813918,0.266558649,84.48479006,11885.41988,297.4870995,5.573131141,5.357818829
6140,0.40082815,0.295057654,91.8358209,14381.18232,158.5882336,5.431464265,5.357818829
6240,0.305996719,0.114233812,77.54162073,15065.44708,240.6773249,8.121608315,4.892008069
6340,0.242708801,0.124626376,67.06616257,14517.94923,263.6915142,8.000954654,4.892008069
6342,0.142715424,0.047812944,49.73050985,14044.04559,377.9125437,11.54231494,4.892008069
6440,0.15119128,0.196912967,63.26389597,13726.85569,328.1522664,8.557255001,4.892008069
6441,0.302555136,0.343232862,63.0214445,12347.36593,222.662267,4.395171128,4.892008069
6442,0.203859848,0.091480282,41.62765625,13196.16203,550.028,10.31710938,4.892008069
6443,0.318439359,0.308016998,51.69381928,9741.149647,204.6088467,4.141581333,4.892008069
6444,0.245672295,0.066044672,53.61417097,11240.64573,80.13002841,2.869431818,4.892008069
6541,0.160920516,0.205181761,59.04833424,14732.55243,235.2054694,6.868163265,4.892008069
6542,0.246482765,0.186380816,42.05390625,12136.16891,524.5393125,7.99778125,4.892008069
6543,0.289811973,0.078419961,34.76074387,9181.985779,554.58525,8.975234375,4.892008069
6544,0.381562095,0.143176262,44.80944435,10288.38311,255.3146686,4.826706134,4.892008069
6642,0.25111883,0.089645477,41.43566698,12493.32576,360.5951615,7.363483058,4.892008069
6742,0.21598272,0.023715186,46.43615453,12454.27042,152.8989715,5.661387011,4.892008069
