,BA_YDSt,BA_YDSp,YDS_Nt,YDS_Np,HKD
4730,5.539923954,198.661597,-3.007019326,-23366.75455,0
4830,5.489340169,190.8620602,-3.681252357,-21474.45451,0
4831,4.273858921,179.4854772,-0.960344348,-25156.84803,0
4930,5.110410095,175.70347,-6.51504107,-19140.2144,0
4931,3.972610097,166.2441819,-2.262968306,-20313.14781,0
5030,4.570342205,161.8479087,-8.031563296,-17656.08193,0
5032,2.68018018,136.3153153,0.489004402,-16245.67985,0
5033,2.055555556,120.4537037,0.655563497,-22761.30426,0
5035,1.08411215,93.82242991,-0.751068359,-24502.75337,0
5131,3.221153846,139.3525641,-3.000241593,-17725.33013,0
5132,2.548387097,123.4612903,-1.35536371,-15181.71138,0
5133,1.86770428,106.155642,-3.346564084,-10400.37816,0
5135,1.039087948,84.70358306,-2.394623999,-14692.49418,0
5136,0.707317073,75.91056911,0.85129819,-20667.70952,0
5232,2.150501672,105.9197324,0.325205659,-16982.41368,0
5233,1.619791667,90.6640625,3.773072917,-14345.28911,0
5234,1.112947658,78.43801653,0.877428828,-13831.29664,0
5235,0.845549738,69.9921466,-2.404489635,-13789.37859,0
5236,0.521084337,60.79518072,-3.78586521,-15494.74889,0
5237,0.10326087,51.55434783,-5.445244588,-17827.08442,0
5238,-0.387323944,43.68309859,-9.810574964,-24313.57766,0
5336,0.150793651,45.04497354,-1.979682869,-23364.4468,0
5337,-0.184895833,38.33333333,-3.23171875,-20595.88974,0
5338,-0.583333333,32.65885417,-9.142663893,-15286.23479,0
5339,-1.381088825,27.07449857,-11.47418322,-14665.91284,0
5340,-2.177162698,22.18855159,-5.155098678,-13480.92111,0
5436,-0.299270073,28.72992701,-3.518484926,-23744.01586,0
5437,-0.6171875,23.79427083,-1.552135417,-18800.92974,0
5438,-0.96875,21.20052083,-6.437627887,-11894.24411,0
5439,-1.692708333,16.15885417,-10.06702998,-12204.87547,0
5440,-2.456278508,11.57952906,-3.673879942,-12262.43471,0
5538,-1.507122507,7.829059829,-3.029348865,-19666.00576,0
5539,-2.046875,4.768229167,-3.001237559,-16263.85416,0
5540,-2.806358382,0.702312139,-5.000850169,-13669.40139,0
5639,-2.469656992,-6.237467018,-2.311401172,-21156.85671,0
5640,-2.99204244,-9.233421751,-5.291235248,-12867.64246,0
5739,-2.898617512,-15.49308756,-5.618247135,-24738.27233,0
5740,-3.183510638,-17.66755319,-3.227183829,-13901.8195,0
5840,-3.416666667,-23.11458333,-2.935677083,-18811.2174,0
5841,-4.047619048,-27.10884354,-3.257549395,-12066.50661,0
5940,-3.8,-25.17333333,-4.200152822,-18776.27437,0
5941,-4.762532982,-30.85751979,-3.916545583,-12499.57256,0
6040,-4.294270833,-25.16927083,-4.795604955,-15293.8888,0
6041,-5.262411348,-31.24468085,-4.350038287,-10745.45534,0
6140,-4.908393113,-25.48122908,-7.61523266,-13041.53036,0
6240,-5.842342342,-23.60810811,-5.257836944,-13840.42456,1
6340,-6.488888889,-21.54222222,-2.652829238,-13302.03812,1
6342,-9.168888889,-38.39111111,-2.450509846,-12836.01892,1
6440,-7.326359833,-21.16317992,-9.690674214,-12342.04397,1
6441,-8.367231638,-27.90112994,-6.00167049,-11120.87158,1
6442,-8.971354167,-33,-8.14328125,-12102.47193,1
6443,-9.464985994,-36.54621849,-9.427712839,-8736.494185,1
6444,-9.819047619,-30.65238095,-18.03321859,-10378.14573,1
6541,-8.443438914,-23.53393665,-8.600370443,-13489.24926,1
6542,-8.252604167,-25.3984375,-12.54088542,-11019.80432,1
6543,-8.182291667,-27.09635417,-18.12272303,-8324.407654,1
6544,-8.508241758,-25.73351648,-24.68307073,-9508.380366,1
6642,-6.824146982,-16.30183727,-9.044590867,-11382.45175,1
6742,-5.113300493,-6.990147783,-8.39674566,-11346.28027,1
